Confirmed Foreign National,Confirmed Indian National,Date,State/UnionTerritory,State/UnionTerritory (group),Time,% of death,%cured,%of confimed cases,%of cured,Confirmed,Cured,death%,Deaths,Sno
0,1,15-03-2020,Andhra Pradesh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,149
0,7,15-03-2020,Delhi,Other,6:00 PM,14.285714286,28.571428571,0.054863234,28.571428571,7,2,14.285714286,1,150
14,0,15-03-2020,Haryana,Other,6:00 PM,0,0,0.109726468,0,14,0,0,0,151
0,6,15-03-2020,Karnataka,Other,6:00 PM,16.666666667,0,0.047025629,0,6,0,16.666666667,1,152
0,22,15-03-2020,Kerala,Other,6:00 PM,0,13.636363636,0.172427306,13.636363636,22,3,0,0,153
0,32,15-03-2020,Maharashtra,Maharashtra,6:00 PM,0,0,0.250803354,0,32,0,0,0,154
0,1,15-03-2020,Punjab,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,155
2,2,15-03-2020,Rajasthan,Other,6:00 PM,0,75,0.031350419,75,4,3,0,0,156
0,1,15-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,157
0,3,15-03-2020,Telengana,Other,6:00 PM,0,33.333333333,0.023512814,33.333333333,3,1,0,0,158
0,2,15-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,159
0,3,15-03-2020,Ladakh,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,160
1,12,15-03-2020,Uttar Pradesh,Other,6:00 PM,0,30.769230769,0.101888863,30.769230769,13,4,0,0,161
0,1,15-03-2020,Uttarakhand,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,162
0,1,16-03-2020,Andhra Pradesh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,163
0,7,16-03-2020,Delhi,Other,6:00 PM,14.285714286,28.571428571,0.054863234,28.571428571,7,2,14.285714286,1,164
14,0,16-03-2020,Haryana,Other,6:00 PM,0,0,0.109726468,0,14,0,0,0,165
0,6,16-03-2020,Karnataka,Other,6:00 PM,16.666666667,0,0.047025629,0,6,0,16.666666667,1,166
0,23,16-03-2020,Kerala,Other,6:00 PM,0,13.043478261,0.180264911,13.043478261,23,3,0,0,167
0,32,16-03-2020,Maharashtra,Maharashtra,6:00 PM,0,0,0.250803354,0,32,0,0,0,168
0,1,16-03-2020,Odisha,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,169
0,1,16-03-2020,Punjab,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,170
2,2,16-03-2020,Rajasthan,Other,6:00 PM,0,75,0.031350419,75,4,3,0,0,171
0,1,16-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,172
0,3,16-03-2020,Telengana,Other,6:00 PM,0,33.333333333,0.023512814,33.333333333,3,1,0,0,173
0,3,16-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,174
0,4,16-03-2020,Ladakh,Other,6:00 PM,0,0,0.031350419,0,4,0,0,0,175
1,12,16-03-2020,Uttar Pradesh,Other,6:00 PM,0,30.769230769,0.101888863,30.769230769,13,4,0,0,176
0,1,16-03-2020,Uttarakhand,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,177
0,1,17-03-2020,Andhra Pradesh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,178
0,8,17-03-2020,Delhi,Other,6:00 PM,12.5,25,0.062700839,25,8,2,12.5,1,179
14,1,17-03-2020,Haryana,Other,6:00 PM,0,0,0.117564072,0,15,0,0,0,180
0,11,17-03-2020,Karnataka,Other,6:00 PM,9.090909091,0,0.086213653,0,11,0,9.090909091,1,181
2,24,17-03-2020,Kerala,Other,6:00 PM,0,11.538461538,0.203777726,11.538461538,26,3,0,0,182
3,36,17-03-2020,Maharashtra,Maharashtra,6:00 PM,2.564102564,0,0.305666588,0,39,0,2.564102564,1,183
0,1,17-03-2020,Odisha,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,184
0,1,17-03-2020,Punjab,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,185
2,2,17-03-2020,Rajasthan,Other,6:00 PM,0,75,0.031350419,75,4,3,0,0,186
0,1,17-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,187
2,3,17-03-2020,Telengana,Other,6:00 PM,0,20,0.039188024,20,5,1,0,0,188
0,3,17-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,189
0,6,17-03-2020,Ladakh,Other,6:00 PM,0,0,0.047025629,0,6,0,0,0,190
1,14,17-03-2020,Uttar Pradesh,Other,6:00 PM,0,33.333333333,0.117564072,33.333333333,15,5,0,0,191
0,1,17-03-2020,Uttarakhand,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,192
0,1,18-03-2020,Andhra Pradesh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,193
1,9,18-03-2020,Delhi,Other,6:00 PM,10,20,0.078376048,20,10,2,10,1,194
14,3,18-03-2020,Haryana,Other,6:00 PM,0,0,0.133239282,0,17,0,0,0,195
0,11,18-03-2020,Karnataka,Other,6:00 PM,9.090909091,0,0.086213653,0,11,0,9.090909091,1,196
2,25,18-03-2020,Kerala,Other,6:00 PM,0,11.111111111,0.211615330,11.111111111,27,3,0,0,197
3,39,18-03-2020,Maharashtra,Maharashtra,6:00 PM,2.380952381,0,0.329179403,0,42,0,2.380952381,1,198
0,1,18-03-2020,Odisha,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,199
0,1,18-03-2020,Puducherry,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,200
0,1,18-03-2020,Punjab,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,201
2,2,18-03-2020,Rajasthan,Other,6:00 PM,0,75,0.031350419,75,4,3,0,0,202
0,1,18-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,203
2,4,18-03-2020,Telengana,Other,6:00 PM,0,16.666666667,0.047025629,16.666666667,6,1,0,0,204
0,3,18-03-2020,Jammu and Kashmir,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,205
0,8,18-03-2020,Ladakh,Other,6:00 PM,0,0,0.062700839,0,8,0,0,0,206
1,15,18-03-2020,Uttar Pradesh,Other,6:00 PM,0,31.25,0.125401677,31.25,16,5,0,0,207
0,1,18-03-2020,Uttarakhand,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,208
0,1,18-03-2020,West Bengal,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,209
0,2,19-03-2020,Andhra Pradesh,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,210
0,1,19-03-2020,Chhattisgarh,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,211
